ra,dec,phot_g_mean_mag
194132,-72185,56
194539,-72122,79
195205,-72429,80
196609,-72798,78
197158,-72823,69
199829,-72036,56
200719,-72147,61
204885,-72504,79
205909,-72990,78
211173,-72070,77
212725,-72217,73
212932,-72677,73
215370,-72318,72
216332,-72621,78
216439,-72550,80
218195,-72068,74
225282,-72719,80
226295,-72190,70
226595,-72170,72
227253,-72307,67
227358,-72412,78
228141,-72771,60
228198,-72877,80
228909,-72399,69
231238,-72046,69
234054,-72839,73
234433,-72202,80
234777,-72298,75
235363,-72934,71
236426,-72306,75
238687,-72629,79
240195,-72463,61
240728,-72767,80
241482,-72401,54
244647,-72956,79
246191,-72586,74
248619,-72915,78
250198,-72299,63
253146,-72283,74
253457,-72103,72
255612,-72609,67
256841,-72576,80
257755,-72853,77
258047,-72274,73
259073,-72556,77
266083,-72220,71
266083,-72220,72
266261,-72791,72
266594,-72822,71
267107,-72572,78
270771,-72107,78
271206,-72952,80
272821,-72599,77
273033,-72959,77
277066,-72855,80
278131,-72689,79
279175,-72787,72
281276,-72457,76
281564,-72814,67
282310,-72955,80
282432,-72996,62
289796,-72650,77
290204,-72629,78
297356,-72503,53
297637,-72875,76
297809,-72795,72
298322,-72474,71
299285,-72114,75
300149,-72911,40
304236,-72184,78
304612,-72980,61
304625,-72808,67
305826,-72652,80
308072,-72833,80
312201,-72212,80
312254,-72533,72
317838,-72544,59
321351,-72596,71
325330,-72546,77
326957,-72682,77
327782,-72139,68
329848,-72570,76
330983,-72742,64
335932,-72804,80
336173,-72258,51
338794,-72551,79
339093,-72713,64
344150,-72484,79
351078,-72165,67
351780,-72882,80
354908,-72725,68
358203,-72399,75
1173,-71437,56
5182,-71978,80
8348,-71266,61
11131,-71169,80
12718,-71151,67
15388,-71550,74
16285,-71734,71
21912,-71704,70
31424,-71606,70
32954,-71484,68
35427,-71670,79
40366,-71463,76
40711,-71204,66
41405,-71236,66
44047,-71811,78
45565,-71902,55
49902,-71442,77
50022,-71981,78
56349,-71658,62
60182,-71167,66
64207,-71998,73
69991,-71506,76
