name,ra,dec,hip_number,vmag
HIP 25302 ,05 24 44.8265,+01 50 47.206,25302,4.89
HIP 25336 ,05 25 07.8682,+06 20 59.044,25336,1.64
HIP 25428 ,05 26 17.4979,+28 36 28.344,25428,1.65
HIP 25473 ,05 26 50.2282,+03 05 44.438,25473,4.59
HIP 25539 ,05 27 38.0840,+21 56 13.136,25539,4.88
HIP 25606 ,05 28 14.7263,-20 45 33.236,25606,2.81
HIP 25737 ,05 29 43.9816,-01 05 31.832,25737,4.71
HIP 25813 ,05 30 47.0479,+05 56 53.585,25813,4.2
HIP 25859 ,05 31 12.7355,-35 28 13.569,25859,3.86
HIP 25923 ,05 31 55.8603,-07 18 05.495,25923,4.62
HIP 25930 ,05 32 00.3997,-00 17 56.736,25930,2.25
HIP 25945 ,05 32 12.7512,+18 35 39.283,25945,4.32
HIP 25984 ,05 32 43.6742,+32 11 31.313,25984,4.71
HIP 25985 ,05 32 43.8139,-17 49 20.252,25985,2.58
HIP 26069 ,05 33 37.5164,-62 29 23.481,26069,3.76
HIP 26176 ,05 34 49.2378,+09 29 22.507,26176,4.39
HIP 26199 ,05 35 02.6812,-06 00 07.303,26199,4.78
HIP 26207 ,05 35 08.2777,+09 56 02.987,26207,3.39
HIP 26220 ,05 35 15.8230,-05 23 14.335,26220,4.98
HIP 26235 ,05 35 22.8998,-05 24 57.828,26235,4.98
HIP 26237 ,05 35 23.1617,-04 50 18.026,26237,4.58
HIP 26241 ,05 35 25.9811,-05 54 35.639,26241,2.75
HIP 26311 ,05 36 12.8126,-01 12 06.902,26311,1.69
HIP 26366 ,05 36 54.3307,+09 17 29.083,26366,4.09
HIP 26451 ,05 37 38.6843,+21 08 33.335,26451,2.97
HIP 26549 ,05 38 44.7653,-02 36 00.244,26549,3.77
HIP 26563 ,05 38 53.0918,-07 12 45.750,26563,4.77
HIP 26594 ,05 39 11.1459,+04 07 17.280,26594,4.5
HIP 26634 ,05 39 38.9399,-34 04 26.578,26634,2.65
HIP 26727 ,05 40 45.5248,-01 56 33.282,26727,1.74
HIP 26736 ,05 40 50.7158,-01 07 43.628,26736,4.95
HIP 26777 ,05 41 17.7154,+16 32 03.059,26777,4.84
HIP 26885 ,05 42 28.6644,+01 28 28.794,26885,4.9
HIP 27072 ,05 44 27.9750,-22 26 50.952,27072,3.59
HIP 27100 ,05 44 46.4191,-65 44 07.947,27100,4.34
HIP 27288 ,05 46 57.3497,-14 49 19.010,27288,3.55
HIP 27321 ,05 47 17.0833,-51 04 00.168,27321,3.85
HIP 27366 ,05 47 45.3879,-09 40 10.567,27366,2.07
HIP 27468 ,05 49 00.9595,+24 34 03.197,27468,4.88
HIP 27483 ,05 49 10.4595,+39 10 52.080,27483,4.51
HIP 27511 ,05 49 32.9435,+12 39 04.917,27511,4.89
HIP 27530 ,05 49 49.5768,-56 09 59.359,27530,4.5
HIP 27628 ,05 50 57.5528,-35 46 09.452,27628,3.12
HIP 27639 ,05 51 02.4103,+37 18 20.454,27639,4.72
HIP 27654 ,05 51 19.1528,-20 52 39.050,27654,3.76
HIP 27673 ,05 51 29.3926,+39 08 54.526,27673,3.97
HIP 27750 ,05 52 26.4428,+01 51 18.568,27750,4.76
HIP 27810 ,05 53 06.8844,-33 48 05.182,27810,4.88
HIP 27830 ,05 53 19.6436,+27 36 44.227,27830,4.56
HIP 27890 ,05 54 05.9001,-63 05 27.675,27890,4.65
HIP 27913 ,05 54 23.0839,+20 16 35.094,27913,4.39
HIP 27949 ,05 54 50.7859,+55 42 24.858,27949,4.96
HIP 27989 ,05 55 10.2892,+07 24 25.331,27989,0.45
HIP 28010 ,05 55 29.8904,-37 07 14.194,28010,4.97
HIP 28103 ,05 56 24.3183,-14 10 04.937,28103,3.71
HIP 28199 ,05 57 32.2119,-35 16 59.905,28199,4.36
HIP 28237 ,05 57 59.6577,+25 57 14.097,28237,4.81
HIP 28328 ,05 59 08.7905,-42 48 54.387,28328,3.96
HIP 28358 ,05 59 31.5503,+54 17 05.935,28358,3.72
HIP 28360 ,05 59 31.7694,+44 56 50.766,28360,1.9
HIP 28380 ,05 59 43.2382,+37 12 45.951,28380,2.65
HIP 28404 ,05 59 56.1014,+45 56 12.312,28404,4.3
HIP 28413 ,06 00 03.3454,-03 04 26.677,28413,4.53
HIP 28574 ,06 01 50.4258,-10 35 52.581,28574,4.92
HIP 28614 ,06 02 22.9904,+09 38 50.523,28614,4.12
HIP 28716 ,06 03 55.1836,+20 08 18.451,28716,4.64
HIP 28734 ,06 04 07.2165,+23 15 49.075,28734,4.16
HIP 28816 ,06 04 59.1326,-16 29 03.938,28816,4.92
HIP 28910 ,06 06 09.3340,-14 56 07.031,28910,4.67
HIP 29038 ,06 07 34.3219,+14 46 06.683,29038,4.42
HIP 29276 ,06 10 17.9131,-54 58 07.178,29276,4.72
HIP 29426 ,06 11 56.3968,+14 12 31.731,29426,4.45
HIP 29434 ,06 12 03.2761,+16 07 49.609,29434,4.95
HIP 29651 ,06 14 51.3365,-06 16 29.019,29651,3.99
HIP 29655 ,06 14 52.6967,+22 30 24.566,29655,3.31
