ra,dec,phot_g_mean_mag
157764,-78164,83
159075,-78785,90
160148,-78493,83
160923,-78209,82
166081,-78868,87
173178,-78518,81
174071,-78006,82
175774,-78217,81
176307,-78616,83
176768,-78443,90
177964,-78507,90
179950,-78196,85
180412,-78988,84
182214,-78101,89
183300,-78811,90
184726,-78870,87
185313,-78165,89
186068,-78366,86
187606,-78389,90
189072,-78984,87
190085,-78461,87
198510,-78245,87
200348,-78128,89
200750,-78886,86
201447,-78942,83
202598,-78856,84
202957,-78944,90
203231,-78939,89
208828,-78140,85
209223,-78460,87
210273,-78216,83
211969,-78028,86
213416,-78251,90
214876,-78443,90
215705,-78400,85
216846,-78180,82
217359,-78473,86
219430,-78558,89
219621,-78009,87
221673,-78943,89
222856,-78998,84
223561,-78296,90
224913,-78511,86
226792,-78339,83
227146,-78512,88
227303,-78640,85
227683,-78329,90
229931,-78491,90
235889,-78713,90
238732,-78832,90
239227,-78141,90
240403,-78713,81
241782,-78715,90
242407,-78590,88
244001,-78961,84
245359,-78111,90
246215,-78148,84
246570,-78565,87
249637,-78768,89
249884,-78576,88
251818,-78564,86
253367,-78023,89
256109,-78474,82
257813,-78609,86
258089,-78469,84
259253,-78927,90
259938,-78066,84
259948,-78878,84
263499,-78136,88
264618,-78204,87
267764,-78578,89
270880,-78702,81
273192,-78992,90
273368,-78523,84
274273,-78491,89
279996,-78170,90
282142,-78454,89
285389,-78630,85
287641,-78059,87
288278,-78603,87
288436,-78001,90
291896,-78221,85
294562,-78018,90
301003,-78779,82
301491,-78030,88
301921,-78866,89
306701,-78195,84
307508,-78906,81
308926,-78243,89
308981,-78469,89
309147,-78189,83
312788,-78132,81
312977,-78873,82
313276,-78410,90
314825,-78181,89
319953,-78407,86
327126,-78433,85
328905,-78594,90
333516,-78331,81
334427,-78431,82
336725,-78527,85
337012,-78412,86
337546,-78005,90
338874,-78497,83
339922,-78100,90
340837,-78165,86
340898,-78859,88
341046,-78019,90
341792,-78914,89
345378,-78891,87
346381,-78622,87
346939,-78660,87
347527,-78765,82
348360,-78347,87
348721,-78335,87
351578,-78992,89
352560,-78572,90
354354,-78154,86
356001,-78120,82
147,-77020,85
1858,-77494,81
2514,-77480,88
5982,-77645,88
7774,-77052,89
9699,-77729,86
13538,-77858,88
17533,-77206,83
29748,-77064,90
31857,-77921,85
35357,-77645,89
36372,-77173,83
36964,-77419,81
38264,-77629,90
39684,-77109,84
41667,-77521,87
43864,-77657,82
47807,-77805,90
48132,-77915,83
48269,-77028,89
53361,-77564,87
54112,-77116,89
57167,-77337,86
58184,-77862,89
60914,-77916,87
61767,-77566,90
62307,-77051,88
63230,-77775,90
64673,-77056,83
66231,-77684,81
67284,-77907,84
68030,-77477,86
70290,-77766,90
71529,-77021,87
73099,-77041,84
80209,-77919,90
80355,-77696,90
85664,-77452,84
86108,-77351,82
89151,-77223,89
89713,-77600,85
89800,-77271,87
90829,-77277,89
91587,-77954,86
92068,-77405,88
92203,-77029,86
92813,-77506,89
92837,-77512,90
94252,-77103,82
94749,-77328,89
99262,-77679,84
100209,-77580,89
101109,-77245,87
102621,-77454,90
105881,-77943,81
106827,-77916,88
107448,-77376,88
107826,-77409,90
108541,-77563,89
108855,-77030,85
110516,-77923,88
111379,-77186,85
112276,-77833,81
115212,-77271,87
117137,-77151,88
123127,-77915,83
125258,-77151,90
125474,-77855,81
126269,-77784,85
126826,-77729,84
127410,-77941,82
129412,-77612,89
129479,-77517,89
129750,-77610,81
130736,-77118,81
130901,-77050,81
132296,-77600,85
132972,-77358,86
133449,-77976,85
133718,-77606,83
133909,-77992,84
139851,-77643,82
142665,-77601,90
147727,-77324,84
148221,-77654,88
151797,-77275,81
153853,-77088,87
153976,-77868,88
160197,-77709,87
161255,-77246,83
164766,-77099,87
167013,-77655,84
167326,-77795,84
170811,-77677,89
173348,-77456,89
173399,-77673,90
173819,-77970,89
174945,-77467,85
176788,-77904,86
177041,-77697,86
178987,-77008,84
179325,-77451,83
180850,-77280,88
182228,-77688,90
184301,-77842,86
184323,-77647,83
185870,-77681,82
186633,-77060,84
188044,-77701,86
188625,-77516,87
189088,-77702,89
189842,-77846,88
190178,-77949,82
190772,-77351,86
196708,-77870,86
197014,-77310,84
198476,-77459,88
203320,-77574,90
203525,-77861,86
205432,-77513,85
207039,-77929,88
207061,-77653,88
207467,-77889,89
209130,-77238,83
211831,-77833,83
214051,-77217,84
214266,-77681,83
217291,-77167,89
218098,-77165,87
218410,-77445,85
218793,-77217,90
219656,-77617,88
220659,-77327,88
220819,-77699,90
220891,-77051,87
221434,-77768,82
223038,-77076,87
224501,-77123,81
225092,-77935,85
225599,-77297,82
226698,-77288,82
227051,-77087,86
227629,-77321,89
230688,-77705,89
230740,-77530,83
236603,-77434,90
236881,-77461,81
237658,-77729,90
239387,-77810,85
240597,-77478,83
240941,-77830,85
240969,-77449,90
244717,-77145,85
244720,-77255,85
246085,-77464,83
246104,-77154,81
247222,-77632,85
248628,-77228,90
249084,-77745,85
249723,-77810,88
250509,-77435,90
254627,-77474,84
255056,-77474,88
255540,-77526,83
255706,-77621,89
257003,-77597,90
257283,-77530,84
257760,-77881,87
259369,-77794,81
262126,-77520,88
262367,-77065,88
263764,-77830,87
266477,-77624,87
266709,-77082,90
268920,-77558,84
270883,-77271,85
273040,-77900,86
273864,-77531,90
276991,-77885,89
280661,-77913,90
281116,-77275,81
283275,-77057,82
283470,-77485,90
284688,-77566,84
289126,-77982,89
296645,-77087,87
299562,-77303,86
300311,-77437,83
303000,-77419,84
303042,-77003,86
305969,-77434,87
307492,-77657,89
307532,-77615,84
312359,-77604,88
314884,-77613,86
320325,-77261,89
321458,-77830,84
321656,-77886,88
328349,-77396,90
328663,-77755,90
330620,-77312,81
332230,-77160,89
332984,-77145,89
335184,-77430,90
337824,-77111,90
342001,-77465,85
347995,-77783,83
348341,-77278,86
355917,-77808,88
356566,-77569,86
356815,-77235,85
1140,-76346,87
1149,-76874,89
3946,-76429,83
5811,-76005,84
5818,-76724,86
5818,-76724,87
6740,-76315,83
9356,-76292,86
9919,-76985,87
12914,-76386,90
15360,-76798,85
18127,-76307,89
20860,-76612,82
21878,-76074,90
22825,-76662,88
22970,-76914,85
24689,-76500,89
24837,-76021,86
24838,-76021,90
26917,-76780,86
27501,-76091,83
28572,-76379,84
32246,-76621,83
32846,-76696,89
33137,-76089,90
33812,-76695,90
36206,-76808,88
40968,-76470,89
45286,-76169,85
51507,-76616,84
53538,-76880,88
56838,-76421,85
56905,-76471,81
62180,-76608,85
63041,-76604,86
65792,-76186,90
66164,-76158,90
66715,-76534,85
68723,-76856,85
68755,-76849,90
68842,-76111,85
69157,-76884,83
71423,-76304,84
76966,-76439,89
77535,-76140,84
78775,-76981,81
79541,-76903,89
81106,-76896,90
82514,-76249,81
85889,-76767,86
86653,-76170,88
87046,-76103,81
87127,-76543,88
88695,-76808,84
88887,-76019,86
89023,-76087,88
90214,-76436,86
91588,-76360,85
91876,-76691,85
93023,-76984,86
94063,-76636,90
94743,-76733,87
96381,-77000,85
97276,-76128,90
98701,-76997,86
99191,-76803,87
104247,-76643,86
109768,-76416,81
109983,-76692,90
116958,-76141,87
117209,-76773,84
118212,-76614,87
120147,-76213,87
120654,-76241,89
121146,-76700,90
122094,-76063,86
122209,-76639,90
122235,-76035,88
122806,-76742,90
124024,-76514,85
124218,-76426,83
124345,-76353,84
124670,-76860,89
125724,-76435,83
126290,-76047,88
126547,-76602,82
